Thread,Block,Number of step,Seed,Test kerkel,"Result of Test kernel
in float_st (RoF)",Reference kernel,"Result of Reference kernel 
in double_st (RoR)","Absolute error of 
two kernel results in double_st (MEAN)","Similar Representation Part 
of RoR and RoT (SRP)","Number of Similar Digits
in fractional part of RoR and RoT (NSD)"
128,128,1,6,7,157.667755126953125000000000000000,8,157.667764632763464760500937700272,0.000009505810339760500937700272,157.6677,4
128,128,1,7,7,272.935607910156250000000000000000,8,272.935633770684944465756416320801,0.000025860528694465756416320801,272.9356,4
128,128,1,8,7,-226.573379516601562500000000000000,8,-226.573339852519893611315637826920,0.000039664081668888684362173080,-226.5733,4
128,128,1,9,7,-96.377700805664062500000000000000,8,-96.377734230627538636326789855957,0.000033424963476136326789855957,-96.3777,4
128,128,1,10,7,-103.272071838378906250000000000000,8,-103.272041771284420974552631378174,0.000030067094485275447368621826,-103.2720,4
128,128,N,1,7,141.573226928710937500000000000000,8,141.573212963266996666789054870605,0.000013965443940833210945129395,141.5732,4
128,128,N,2,7,-94.450546264648437500000000000000,8,-94.450544837454799562692642211914,0.000001427193637937307357788086,-94.45054,5
128,128,N,3,7,-120.727584838867187500000000000000,8,-120.727611136779160005971789360046,0.000026297911972505971789360046,-120.727,3
128,128,N,4,7,-13.081001281738281250000000000000,8,-13.080993428717192728072404861450,0.000007853021088521927595138550,-13.08,2
128,128,N,5,7,128.628799438476562500000000000000,8,128.628789640246395720168948173523,0.000009798230166779831051826477,128.6287,4
128,128,N,6,7,157.667770385742187500000000000000,8,157.667764632763464760500937700272,0.000005752978722739499062299728,157.6677,4
128,128,N,7,7,272.935607910156250000000000000000,8,272.935633770684944465756416320801,0.000025860528694465756416320801,272.9356,4
128,128,N,8,7,-226.573318481445312500000000000000,8,-226.573339852519893611315637826920,0.000021371074581111315637826920,-226.5733,4
128,128,N,9,7,-96.377731323242187500000000000000,8,-96.377734230627538636326789855957,0.000002907385351136326789855957,-96.37773,5
128,128,N,10,7,-103.272033691406250000000000000000,8,-103.272041771284420974552631378174,0.000008079878170974552631378174,-103.2720,4
256,64,1,1,7,141.573150634765625000000000000000,8,141.573212963266996666789054870605,0.000062328501371666789054870605,141.573,3
256,64,1,2,7,-94.450576782226562500000000000000,8,-94.450544837454799562692642211914,0.000031944771762937307357788086,-94.4505,4
256,64,1,3,7,-120.727630615234375000000000000000,8,-120.727611136779160005971789360046,0.000019478455214994028210639954,-120.7276,4
256,64,1,4,7,-13.081022262573242187500000000000,8,-13.080993428717192728072404861450,0.000028833856049459427595138550,-13.08,2
256,64,1,5,7,128.628768920898437500000000000000,8,128.628789640246395720168948173523,0.000020719347958220168948173523,128.6287,4
256,64,1,6,7,157.667846679687500000000000000000,8,157.667764632763464760500937700272,0.000082046924035239499062299728,157.667,3
256,64,1,7,7,272.935607910156250000000000000000,8,272.935633770684944465756416320801,0.000025860528694465756416320801,272.9356,4
256,64,1,8,7,-226.573303222656250000000000000000,8,-226.573339852519893611315637826920,0.000036629863643611315637826920,-226.5733,4
256,64,1,9,7,-96.377731323242187500000000000000,8,-96.377734230627538636326789855957,0.000002907385351136326789855957,-96.37773,5
256,64,1,10,7,-103.272064208984375000000000000000,8,-103.272041771284420974552631378174,0.000022437699954025447368621826,-103.2720,4
256,64,N,1,7,141.573196411132812500000000000000,8,141.573212963266996666789054870605,0.000016552134184166789054870605,141.573,3
256,64,N,2,7,-94.450500488281250000000000000000,8,-94.450544837454799562692642211914,0.000044349173549562692642211914,-94.4505,4
256,64,N,3,7,-120.727615356445312500000000000000,8,-120.727611136779160005971789360046,0.000004219666152494028210639954,-120.72761,5
256,64,N,4,7,-13.081001281738281250000000000000,8,-13.080993428717192728072404861450,0.000007853021088521927595138550,-13.08,2
256,64,N,5,7,128.628784179687500000000000000000,8,128.628789640246395720168948173523,0.000005460558895720168948173523,128.62878,5
256,64,N,6,7,157.667785644531250000000000000000,8,157.667764632763464760500937700272,0.000021011767785239499062299728,157.6677,4
256,64,N,7,7,272.935638427734375000000000000000,8,272.935633770684944465756416320801,0.000004657049430534243583679199,272.93563,5
256,64,N,8,7,-226.573333740234375000000000000000,8,-226.573339852519893611315637826920,0.000006112285518611315637826920,-226.57333,5
256,64,N,9,7,-96.377731323242187500000000000000,8,-96.377734230627538636326789855957,0.000002907385351136326789855957,-96.37773,5
256,64,N,10,7,-103.272079467773437500000000000000,8,-103.272041771284420974552631378174,0.000037696489016525447368621826,-103.2720,4
