date,symbol,open,close,low,high,volume
04-01-2010,JWN,38.130001,37.919998,37.549999,38.150002,2816600
04-01-2010,K,53.310001,52.830002,52.57,53.57,2749000
04-01-2010,KEY,5.66,5.94,5.65,5.97,14901600
04-01-2010,KIM,13.62,13.66,13.56,13.88,6263800
04-01-2010,KLAC,36.599998,36.919998,36.57,37.369999,2827000
04-01-2010,KMB,64.289997,64.269992,63.589999,64.519999,1634900
04-01-2010,KMX,24.48,23.98,23.870001,24.48,2122800
04-01-2010,KO,57.16,57.040001,56.900002,57.220001,13870400
04-01-2010,KR,20.530001,20.48,20.440001,20.65,12718800
04-01-2010,KSS,54.5,53.98,53.900002,54.75,3239900
04-01-2010,KSU,33.490002,33.650002,33.419998,33.869999,613500
04-01-2010,L,36.799999,37.18,36.59,37.290001,2210900
04-01-2010,LB,19.370001,19.309999,19.27,19.76,3959400
04-01-2010,LEG,20.5,20.51,20.389999,20.74,1241400
04-01-2010,LEN,12.81,13.01,12.65,13.02,4493800
04-01-2010,LH,75.470001,76.370003,74.830002,76.5,883400
04-01-2010,LKQ,19.68,19.690001,19.52,20.23,1656200
04-01-2010,LLL,87.900002,87.970001,87.120003,88.900002,898900
04-01-2010,LLTC,31.059999,30.940001,30.83,31.17,2887600
04-01-2010,LLY,35.77,35.82,35.77,36.349998,6067100
04-01-2010,LMT,75.870003,76.849998,75.519997,76.949997,2408300
04-01-2010,LNC,25.32,25.879999,24.93,25.91,3811400
04-01-2010,LNT,30.49,30.35,30.24,30.700001,1332800
04-01-2010,LOW,23.51,23.16,23.139999,23.59,9616700
04-01-2010,LRCX,39.700001,39.880001,39.52,40.450001,1856900
04-01-2010,LUK,24.070004,24.75,23.900003,24.769996,937800
04-01-2010,LUV,11.4,11.18,11.09,11.46,9625000
04-01-2010,LVLT,1.53,1.61,1.51,1.61,11418500
04-01-2010,M,16.9,17.059999,16.799999,17.35,8823100
04-01-2010,MA,257.989998,256.84,256.070004,258.199997,9321000
04-01-2010,MAA,48.919998,48.189999,47.939999,49.060001,385800
04-01-2010,MAC,36.380001,34.84,34.470001,37.110001,2642400
04-01-2010,MAR,27.609999,27.629999,27.2,27.93,2860300
04-01-2010,MAS,13.97,14.29,13.88,14.300001,3380500
04-01-2010,MAT,20.33,19.99,19.959999,20.33,2975900
04-01-2010,MCD,62.630001,62.779999,62.310001,63.07,5839300
04-01-2010,MCHP,29.459999,29.18,29.1,29.48,1518700
04-01-2010,MCK,62.990002,63.360001,62.5,63.48,2035200
04-01-2010,MCO,26.940001,27.27,26.82,27.280001,1859700
04-01-2010,MDLZ,27.299999,27.43,27.17,27.48,7953300
04-01-2010,MDT,44.34,43.900002,43.799999,44.389999,6109400
04-01-2010,MET,35.880001,36.299999,35.459999,36.34,4767000
04-01-2010,MHK,48.27,48.310001,47.950001,48.82,497000
04-01-2010,MJN,43.889999,44.990002,43.889999,45.5,6010500
04-01-2010,MKC,36.41,36.299999,36.060001,36.41,490000
04-01-2010,MLM,90.059998,91.669998,90.059998,91.790001,456200
04-01-2010,MMC,22.209999,21.870001,21.790001,22.219999,3680300
04-01-2010,MMM,83.089996,83.019997,82.669998,83.449997,3043700
04-01-2010,MNST,38.659999,39.28,38.510001,39.300001,3880200
04-01-2010,MO,19.77,19.790001,19.58,19.870001,11048600
04-01-2010,MON,82.360001,83.43,82.360001,83.919998,3424300
04-01-2010,MOS,60.450001,61.709999,60.080002,62.360001,4072100
04-01-2010,MRK,36.82,37.009998,36.549999,37.25,13896500
04-01-2010,MRO,31.750068,32.11007,31.630069,32.170085,9214200
04-01-2010,MSFT,30.620001,30.950001,30.59,31.1,38409100
04-01-2010,MSI,7.879947,7.969945,7.869948,8.019946,7511700
04-01-2010,MTB,67.629997,67.010002,66.32,67.650002,721000
04-01-2010,MTD,105.480003,105.639999,104.830002,106.209999,95100
04-01-2010,MU,10.82,10.85,10.78,11.04,34412700
04-01-2010,MUR,55.120003,55.920006,55.109997,56.059994,1642300
04-01-2010,MYL,18.35,18.719999,18.309999,18.77,3611900
04-01-2010,NBL,72.449997,73.220001,72.449997,73.839996,2227600
04-01-2010,NDAQ,19.92,20.24,19.9,20.43,2171500
04-01-2010,NEE,53.040001,53.25,52.869999,53.740002,2602200
04-01-2010,NEM,48.900002,48.450001,48.189999,49.18,5625400
04-01-2010,NFLX,55.519999,53.479999,52.960001,55.73,17239600
04-01-2010,NFX,49.66,49.919998,49.209999,50.34,1164900
04-01-2010,NI,15.560001,15.510001,15.430001,15.690001,6905600
04-01-2010,NKE,66.059998,65.349998,65.120003,66.07,11972400
04-01-2010,NOC,56.10016,56.85016,56.10016,56.870161,1616100
04-01-2010,NOV,44.909997,46.089994,44.900005,46.139998,5385900
04-01-2010,NRG,23.780001,23.870001,23.700001,24.129999,1683700
04-01-2010,NSC,52.830002,52.59,52.040001,52.830002,1884500
04-01-2010,NTAP,34.59,34.189999,34.0,34.869999,5320100
04-01-2010,NTRS,52.09,52.529999,52.09,52.75,1967200
04-01-2010,NUE,47.380001,47.790001,47.32,48.279999,4923600
04-01-2010,NVDA,18.51,18.49,18.110001,18.620001,20005100
04-01-2010,NWL,15.12,15.2,15.07,15.43,2925800
04-01-2010,O,26.26,26.1,25.959999,26.5,876900
04-01-2010,OKE,44.880002,45.579999,44.880002,45.709999,1759600
04-01-2010,OMC,39.5,39.619999,39.360001,39.740002,1670800
04-01-2010,ORCL,24.66,24.85,24.66,25.190001,26795000
04-01-2010,ORLY,39.240002,38.5,38.099998,39.240002,1278200
